Time,Moisture (%)
2024-12-09 14:20:58,527,95
2024-12-09 14:20:59,527,95
2024-12-09 14:21:00,527,95
2024-12-09 14:21:01,526,95
2024-12-09 14:21:02,527,95
2024-12-09 14:21:03,527,95
2024-12-09 14:21:04,527,95
2024-12-09 14:21:05,527,95
2024-12-09 14:21:06,527,95
2024-12-09 14:21:07,527,95
2024-12-09 14:21:08,527,95
2024-12-09 14:21:09,527,95
2024-12-09 14:21:10,527,95
2024-12-09 14:21:11,527,95
2024-12-09 14:21:12,527,95
2024-12-09 14:21:13,527,95
2024-12-09 14:21:14,527,95
2024-12-09 14:21:15,527,95
2024-12-09 14:21:16,526,95
2024-12-09 14:21:17,527,95
2024-12-09 14:21:18,527,95
2024-12-09 14:21:19,527,95
2024-12-09 14:21:20,527,95
2024-12-09 14:21:21,527,95
2024-12-09 14:21:22,527,95
2024-12-09 14:21:23,527,95
2024-12-09 14:21:25,527,95
2024-12-09 14:21:26,527,95
2024-12-09 14:21:27,527,95
2024-12-09 14:21:28,527,95
2024-12-09 14:21:29,527,95
2024-12-09 14:21:30,527,95
2024-12-09 14:21:31,527,95
2024-12-09 14:21:32,527,95
2024-12-09 14:21:33,527,95
2024-12-09 14:21:34,528,94
2024-12-09 14:21:35,527,95
2024-12-09 14:21:36,527,95
2024-12-09 14:21:37,527,95
2024-12-09 14:21:38,527,95
2024-12-09 14:21:39,527,95
2024-12-09 14:21:40,527,95
2024-12-09 14:21:41,527,95
2024-12-09 14:21:42,527,95
2024-12-09 14:21:43,527,95
2024-12-09 14:21:44,527,95
2024-12-09 14:21:45,527,95
2024-12-09 14:21:46,527,95
2024-12-09 14:21:47,527,95
2024-12-09 14:21:48,527,95
2024-12-09 14:21:49,527,95
2024-12-09 14:21:50,527,95
2024-12-09 14:21:51,527,95
2024-12-09 14:21:52,527,95
2024-12-09 14:21:53,527,95
2024-12-09 14:21:54,527,95
2024-12-09 14:21:55,527,95
2024-12-09 14:21:56,527,95
2024-12-09 14:21:57,527,95
2024-12-09 14:21:58,527,95
2024-12-09 14:21:59,527,95
2024-12-09 14:22:00,527,95
2024-12-09 14:22:01,527,95
2024-12-09 14:22:02,527,95
2024-12-09 14:22:03,527,95
2024-12-09 14:22:04,527,95
2024-12-09 14:22:05,527,95
2024-12-09 14:22:06,527,95
2024-12-09 14:22:07,527,95
2024-12-09 14:22:08,527,95
2024-12-09 14:22:09,527,95
2024-12-09 14:22:10,527,95
2024-12-09 14:22:11,527,95
2024-12-09 14:22:12,527,95
2024-12-09 14:22:13,527,95
2024-12-09 14:22:14,527,95
2024-12-09 14:22:15,527,95
2024-12-09 14:22:16,527,95
2024-12-09 14:22:17,527,95
2024-12-09 14:22:18,527,95
2024-12-09 14:22:19,527,95
2024-12-09 14:22:20,527,95
2024-12-09 14:22:21,527,95
2024-12-09 14:22:22,527,95
2024-12-09 14:22:23,527,95
2024-12-09 14:22:24,527,95
2024-12-09 14:22:25,527,95
2024-12-09 14:22:26,527,95
2024-12-09 14:22:27,527,95
2024-12-09 14:22:28,527,95
2024-12-09 14:22:29,527,95
2024-12-09 14:22:30,527,95
2024-12-09 14:22:31,527,95
2024-12-09 14:22:32,527,95
2024-12-09 14:22:33,527,95
2024-12-09 14:22:34,527,95
2024-12-09 14:22:35,527,95
2024-12-09 14:22:36,527,95
2024-12-09 14:22:37,527,95
2024-12-09 14:22:38,527,95
2024-12-09 14:22:39,527,95
2024-12-09 14:22:40,527,95
2024-12-09 14:22:41,527,95
2024-12-09 14:22:42,527,95
2024-12-09 14:22:43,527,95
2024-12-09 14:22:44,527,95
2024-12-09 14:22:45,527,95
2024-12-09 14:22:46,527,95
2024-12-09 14:22:47,527,95
2024-12-09 14:22:48,527,95
2024-12-09 14:22:49,527,95
2024-12-09 14:22:50,527,95
2024-12-09 14:22:51,527,95
2024-12-09 14:22:52,527,95
2024-12-09 14:22:53,528,94
2024-12-09 14:22:54,527,95
2024-12-09 14:22:55,527,95
2024-12-09 14:22:56,527,95
2024-12-09 14:22:57,527,95
2024-12-09 14:22:58,527,95
2024-12-09 14:22:59,528,94
2024-12-09 14:23:00,527,95
2024-12-09 14:23:01,527,95
2024-12-09 14:23:02,527,95
2024-12-09 14:23:03,527,95
2024-12-09 14:23:04,527,95
2024-12-09 14:23:05,527,95
2024-12-09 14:23:06,528,94
2024-12-09 14:23:07,527,95
2024-12-09 14:23:08,527,95
2024-12-09 14:23:09,527,95
2024-12-09 14:23:10,527,95
2024-12-09 14:23:11,527,95
2024-12-09 14:23:13,527,95
2024-12-09 14:23:14,527,95
2024-12-09 14:23:15,527,95
2024-12-09 14:23:16,527,95
2024-12-09 14:23:17,527,95
2024-12-09 14:23:18,527,95
2024-12-09 14:23:19,527,95
